tenure_months,monthly_charges,support_calls,contract_type,is_paperless,churn
25.9,68.51,1,1,1,0
18.8,57.72,2,0,0,0
19.9,47.71,0,0,1,0
0.0,54.17,2,2,0,1
42.0,92.71,2,1,1,0
35.4,55.89,2,0,1,0
20.7,79.25,2,0,0,0
31.7,80.84,2,0,0,1
26.8,56.0,1,2,0,0
18.5,73.87,1,0,1,0
33.8,56.0,0,1,1,0
20.9,52.79,2,1,1,0
20.7,42.48,2,0,0,0
16.1,82.5,6,2,0,1
28.5,57.04,2,0,1,0
23.0,53.96,0,0,1,1
29.5,42.45,1,2,0,0
17.9,101.18,0,2,0,0
25.3,79.84,0,1,0,0
15.1,62.34,1,0,1,0
32.4,51.11,2,0,1,0
25.9,34.4,0,2,0,0
27.3,70.84,1,0,0,0
28.1,70.77,2,2,0,0
13.9,36.83,4,1,1,1
31.8,88.23,1,1,1,0
44.6,80.52,1,0,1,0
7.6,45.76,1,0,0,1
6.7,53.89,1,1,1,0
9.0,56.45,2,0,0,1
32.4,68.21,2,0,0,0
25.3,62.09,2,1,0,1
34.8,32.22,3,0,1,1
31.2,94.48,2,0,1,1
26.1,71.33,1,0,0,0
26.8,90.22,3,0,1,1
22.3,90.1,3,1,0,1
32.7,60.84,3,0,1,0
12.7,71.84,1,2,0,0
19.8,79.73,3,0,0,1
26.4,80.39,3,0,1,1
42.0,61.72,1,1,1,0
16.4,52.64,2,0,0,0
13.2,65.71,3,0,0,1
18.4,48.97,2,0,0,1
33.7,53.88,0,0,1,0
21.6,24.4,1,2,1,0
37.2,66.67,1,2,0,0
5.3,44.46,1,2,1,0
35.3,53.88,0,1,0,0
34.3,63.95,4,0,0,0
9.8,71.28,1,0,1,0
25.5,102.78,1,1,0,1
36.2,69.09,1,0,1,0
24.9,36.73,4,1,0,0
34.0,67.61,5,0,1,1
47.7,53.09,5,1,0,0
26.7,72.99,0,2,1,0
21.2,51.29,0,1,0,0
16.3,50.83,1,1,0,0
30.5,54.77,1,2,1,0
22.0,52.45,1,1,1,0
22.2,28.5,2,0,0,0
22.9,51.63,3,2,1,0
30.5,64.72,1,2,1,0
13.3,89.01,3,0,1,1
8.7,59.14,1,0,1,0
0.0,57.57,1,2,1,0
36.0,76.6,3,0,1,1
24.7,75.79,0,2,1,0
39.1,96.99,2,1,1,0
23.9,76.7,0,2,1,0
16.6,64.61,2,0,1,0
28.8,91.77,2,2,1,0
23.2,95.59,1,1,1,1
11.5,55.49,0,0,1,0
15.1,68.16,2,0,0,1
41.7,31.39,0,2,1,0
27.5,57.72,0,0,0,0
28.2,47.32,1,2,0,0
21.2,60.72,2,1,0,1
17.1,55.37,1,0,0,1
32.9,61.68,1,0,1,1
23.0,62.94,2,2,0,0
16.4,74.87,2,0,1,0
22.7,69.62,1,2,1,0
14.9,53.76,1,0,1,1
25.9,39.22,3,2,0,0
35.3,89.7,1,0,0,0
15.6,93.35,0,0,0,0
38.3,55.91,3,2,1,0
17.3,76.23,0,0,0,1
25.5,34.48,2,0,1,1
15.6,33.76,0,0,1,0
21.8,59.6,0,1,1,0
24.5,94.43,3,0,1,1
19.7,44.07,1,2,1,0
17.0,48.32,4,0,0,0
17.2,97.15,1,0,1,1
15.8,27.13,2,2,0,0
8.3,77.92,2,0,0,1
21.4,74.76,1,0,1,0
28.0,60.87,3,0,1,1
33.1,68.77,2,0,0,0
30.5,117.43,0,0,0,0
48.6,42.46,0,2,0,0
27.2,58.72,2,0,0,0
19.4,60.24,1,0,1,1
42.7,51.21,1,0,0,0
13.5,38.16,4,0,0,1
33.7,96.87,2,0,1,1
14.4,69.4,4,2,0,1
27.5,29.84,1,2,0,0
4.3,50.94,0,1,0,0
33.0,73.11,1,0,0,0
22.4,73.07,3,1,1,1
14.3,36.19,2,0,0,1
40.8,63.17,2,2,1,0
31.7,70.22,0,1,1,0
24.5,72.85,3,1,1,0
16.5,72.89,1,0,1,1
23.6,28.54,1,1,1,0
22.4,101.94,5,2,0,1
31.2,69.22,0,1,0,0
32.0,101.12,2,0,1,0
17.3,122.26,0,1,1,1
18.5,61.79,2,0,0,1
18.7,40.32,3,0,1,1
10.5,82.28,1,1,1,1
18.1,61.38,4,2,1,1
23.1,55.97,0,1,1,0
30.9,44.33,0,0,1,0
37.2,98.76,4,0,0,0
15.9,56.15,1,1,0,0
29.5,37.01,1,0,0,0
19.6,56.05,0,1,1,0
44.8,41.85,0,1,0,0
23.5,68.16,3,0,1,1
29.0,56.61,0,2,1,0
14.6,43.85,0,2,1,0
15.9,77.04,2,0,1,1
26.0,52.13,3,0,1,1
20.2,79.48,3,2,1,0
27.5,90.22,1,0,0,0
8.4,57.76,4,0,0,1
30.6,52.07,3,0,1,0
15.0,68.99,1,2,0,0
41.2,82.83,3,0,0,0
21.1,64.94,1,2,0,0
35.0,67.8,2,2,1,0
10.1,64.46,4,1,1,0
28.3,71.22,3,0,0,1
15.1,77.57,1,0,0,1
19.1,50.88,0,1,0,0
24.2,55.35,4,2,1,0
20.8,65.87,3,0,0,1
26.6,51.69,1,2,0,0
31.5,67.72,2,0,0,0
30.5,75.72,1,0,1,0
23.1,64.57,0,0,0,0
10.4,52.93,1,1,1,0
16.0,49.46,1,0,0,0
22.0,100.02,2,2,0,1
2.8,82.57,2,0,0,1
31.5,42.6,0,1,0,0
21.6,48.18,0,1,1,0
21.5,102.48,1,2,0,0
33.5,95.23,0,1,0,0
30.7,67.56,1,0,0,0
26.2,88.16,3,0,0,1
14.0,35.26,1,0,0,0
27.1,65.03,3,2,0,0
27.5,79.82,1,0,1,0
15.2,27.8,1,2,0,0
34.4,49.34,1,2,0,0
29.1,80.66,1,0,1,0
4.3,87.63,2,2,0,0
25.2,53.13,0,0,1,0
11.4,70.8,0,0,1,1
35.4,97.01,4,1,1,0
32.1,57.36,1,1,0,0
13.0,38.33,0,0,1,0
15.2,63.77,1,1,0,0
25.0,57.14,3,0,1,1
21.6,91.02,3,0,0,0
39.3,68.2,1,2,0,0
31.4,48.96,3,0,0,1
21.2,113.01,0,1,1,0
29.8,55.0,1,1,0,0
3.7,74.45,1,0,1,1
27.1,78.52,0,2,1,0
32.7,80.69,0,2,0,0
22.2,68.46,0,0,1,0
16.9,76.73,1,0,1,1
29.7,63.64,1,0,1,0
43.6,36.62,2,2,1,0
26.0,60.6,0,0,0,0
12.8,61.03,0,0,0,1
38.5,61.45,1,0,1,0
5.2,67.72,0,0,1,0
29.0,52.51,1,2,0,0
18.2,91.47,1,2,0,1
33.3,96.33,2,2,1,0
15.5,20.99,2,0,1,0
37.2,65.19,1,1,1,0
27.0,50.79,1,1,0,0
6.7,12.88,1,2,0,0
4.3,73.2,3,0,1,1
20.8,52.62,0,2,0,0
