tenure_months,monthly_charges,support_calls,contract_type,is_paperless,churn
27.5,61.66,2,1,0,1
32.2,77.49,3,0,0,1
27.3,47.72,1,2,1,0
11.0,63.94,3,0,0,1
33.1,81.77,1,0,1,0
28.5,71.29,2,0,1,0
18.6,40.12,4,1,0,1
29.8,42.45,0,2,0,0
27.6,33.27,1,1,0,0
26.9,101.66,1,2,1,0
24.3,34.6,1,0,1,0
29.5,62.84,2,0,1,1
16.6,102.34,2,1,1,0
22.4,87.17,1,0,0,1
19.2,91.98,2,0,1,1
30.0,55.66,0,0,0,0
24.4,80.43,3,0,1,1
21.1,126.56,3,0,1,1
16.2,64.93,1,1,0,0
21.4,73.94,2,0,1,1
24.1,59.37,0,0,1,0
21.2,65.42,5,1,0,1
36.9,73.16,2,2,0,0
34.1,93.43,1,1,0,0
0.0,47.69,1,1,0,1
5.1,37.13,1,1,0,1
22.3,66.22,1,0,0,0
19.8,69.82,1,2,0,0
26.1,93.94,1,0,0,1
26.2,80.08,1,2,0,0
45.2,53.24,0,0,0,0
12.9,77.06,2,0,0,1
20.2,88.05,2,0,0,0
44.4,71.46,1,1,1,0
30.5,58.93,0,2,0,0
30.6,79.26,3,1,1,0
18.9,58.63,1,1,1,0
7.5,28.38,0,1,0,0
25.7,92.34,1,0,0,1
25.1,39.91,4,2,1,0
11.7,59.0,1,0,0,1
17.2,59.36,1,0,0,0
23.3,58.97,2,1,0,0
14.6,59.96,4,2,1,1
23.0,36.84,0,0,0,0
25.0,76.15,0,0,1,0
24.4,66.17,1,1,1,1
18.9,66.39,2,1,1,0
29.9,87.03,1,0,1,1
32.9,87.57,4,0,1,1
27.2,92.35,0,1,0,0
15.8,102.58,0,1,0,0
31.3,74.63,0,0,0,0
19.0,34.8,1,2,0,0
32.8,69.81,0,0,1,0
13.3,65.82,0,0,1,1
33.1,66.94,0,0,1,0
23.8,53.55,1,1,1,0
11.5,47.78,1,1,0,1
20.9,81.49,0,1,0,0
24.5,84.96,1,1,0,0
26.7,43.2,4,0,0,0
14.2,76.35,0,1,0,0
12.9,62.18,2,0,1,1
26.0,57.8,0,0,1,0
19.3,79.24,1,1,1,0
26.4,64.53,1,1,0,0
31.6,54.46,1,0,1,0
7.5,66.65,0,1,0,0
26.5,25.59,4,0,0,1
36.2,53.66,3,0,0,0
21.0,56.7,1,0,0,1
15.9,37.51,0,0,0,0
31.5,68.99,2,1,1,0
26.5,70.81,1,0,1,1
33.0,53.35,3,1,0,0
20.5,61.97,2,2,1,0
9.2,78.81,0,0,0,0
22.9,86.52,1,2,1,1
19.5,50.11,2,0,0,0
31.8,72.07,1,0,0,0
25.9,86.02,3,1,1,1
7.7,64.65,1,0,0,0
12.0,49.8,0,0,0,0
32.8,49.87,1,0,1,0
30.8,58.74,4,1,0,1
17.6,44.51,0,0,0,0
24.0,105.4,2,2,1,1
28.5,53.73,1,2,1,0
28.7,72.67,1,2,0,0
32.8,68.76,1,0,1,0
26.6,77.82,1,1,0,0
23.1,57.36,1,0,0,0
21.4,39.07,2,2,1,0
34.6,97.79,0,0,0,0
1.5,63.45,2,1,0,0
22.6,67.34,2,1,1,0
24.3,69.01,1,2,1,0
9.7,90.23,2,2,0,1
27.3,80.38,2,2,1,0
17.5,88.48,0,2,1,0
32.6,81.46,1,1,0,0
22.7,68.08,1,0,1,1
30.7,70.11,1,0,0,0
36.2,50.16,2,0,1,0
27.8,26.26,1,0,0,0
15.2,60.24,0,1,0,0
8.9,43.57,0,2,0,0
41.5,116.77,2,0,1,0
22.9,96.21,2,2,0,0
17.1,88.44,2,0,1,1
25.4,54.02,1,1,0,0
22.1,106.21,0,1,0,0
32.5,30.95,3,0,1,0
24.3,40.86,2,0,1,0
24.1,49.41,1,1,0,0
16.9,45.87,0,0,1,0
28.7,67.68,3,0,1,1
13.7,68.91,1,0,1,1
30.7,103.23,1,0,1,0
39.2,84.98,0,2,0,0
8.8,89.45,2,1,0,1
0.0,73.4,1,1,0,1
30.2,62.09,3,0,0,0
49.5,51.3,2,1,1,0
14.0,34.85,2,0,1,1
11.5,47.64,1,0,1,0
29.9,57.41,1,1,0,0
15.6,80.29,0,0,1,0
18.9,31.3,2,0,0,0
20.5,37.71,1,0,0,0
29.3,69.42,2,0,1,1
19.9,44.05,2,0,1,0
26.8,71.74,2,0,1,1
22.2,56.8,0,0,0,0
15.6,49.99,0,0,1,0
20.8,38.37,1,2,0,0
14.5,63.15,0,2,0,0
24.1,50.46,0,2,1,0
12.8,52.77,0,1,1,0
13.1,52.28,1,0,0,1
38.6,68.75,2,1,1,1
23.5,67.98,3,0,1,1
23.5,30.74,4,0,1,1
29.1,61.79,1,0,1,0
19.8,72.97,3,0,1,1
21.7,85.79,1,1,0,0
28.3,80.67,3,0,1,1
26.8,69.19,2,1,0,0
12.4,42.15,0,2,0,0
32.3,49.6,2,0,1,0
18.1,83.29,3,1,0,1
13.4,50.96,2,2,0,0
15.0,85.53,1,0,1,0
20.1,90.48,1,2,1,1
40.3,43.76,2,1,1,0
12.2,73.81,1,0,0,0
25.6,62.76,4,1,1,1
2.6,105.55,1,0,1,1
24.0,81.76,1,1,1,0
33.0,54.79,1,2,0,0
21.6,73.15,2,1,1,1
17.7,46.65,0,0,0,0
26.3,61.97,1,0,1,1
31.0,69.1,1,0,0,0
30.6,67.99,4,1,1,1
43.7,71.16,4,0,0,0
26.1,46.86,3,0,1,1
18.1,27.93,2,2,0,0
22.7,57.74,3,0,1,1
23.3,47.15,1,0,0,0
25.1,51.0,2,0,0,0
23.7,107.75,0,2,1,0
25.7,88.26,2,1,1,0
7.3,61.51,4,1,0,0
32.3,36.33,3,1,1,0
18.3,39.04,0,1,0,0
12.3,72.22,0,0,1,0
30.4,86.39,0,2,1,0
37.2,59.23,2,0,1,0
28.9,67.7,1,0,1,0
25.6,70.1,3,0,1,0
14.7,86.32,3,0,0,1
52.7,27.39,0,2,0,0
32.8,68.12,2,1,1,0
12.6,73.11,5,2,1,1
16.2,84.0,1,2,1,0
24.9,72.92,1,2,0,0
8.5,42.99,1,1,1,0
25.7,53.39,1,0,1,0
19.4,34.52,1,0,0,0
36.3,68.86,0,2,0,0
33.6,68.85,1,1,0,0
0.0,75.24,0,0,0,1
24.4,45.6,0,0,1,0
7.8,42.2,2,1,0,1
35.1,95.51,2,0,1,0
25.7,68.64,2,0,0,1
29.5,99.92,1,0,0,0
13.3,73.79,2,1,0,1
42.3,35.77,2,1,0,0
44.2,81.11,2,1,0,0
13.4,89.7,1,2,1,0
27.7,55.99,4,0,1,1
17.3,26.51,2,0,1,0
23.8,78.3,3,1,0,0
11.3,62.19,2,0,1,0
42.7,70.55,2,0,0,0
14.3,11.27,1,2,1,0
21.0,74.14,1,0,0,0
29.0,10.0,2,0,1,0
17.5,47.65,1,1,1,0
21.6,82.72,0,2,0,0
18.4,28.51,2,0,1,1
22.7,27.72,2,0,1,1
12.3,56.0,1,0,1,0
19.6,97.93,0,0,1,1
21.9,97.31,3,0,0,1
20.7,52.83,1,0,1,1
24.6,84.99,2,1,0,0
21.1,76.58,2,0,1,1
31.5,70.22,0,2,1,0
20.8,72.09,3,0,0,0
22.6,50.48,1,0,0,1
17.4,81.0,1,0,0,1
18.7,86.2,2,1,1,1
11.4,119.0,1,0,0,1
29.2,83.3,3,0,0,1
12.6,15.91,2,0,0,1
16.5,40.86,2,0,0,0
27.6,71.6,2,1,0,1
28.0,66.3,3,0,0,1
20.0,27.71,0,0,1,0
3.8,62.12,0,0,1,0
28.2,57.75,1,0,1,0
26.6,63.91,1,1,1,0
9.9,62.45,3,2,1,1
31.7,83.31,3,0,1,0
17.0,94.19,5,0,0,1
12.7,78.57,1,0,0,1
25.0,42.69,2,1,1,0
22.2,47.64,2,0,1,0
26.0,51.66,4,0,1,1
7.9,63.78,2,1,1,0
42.1,56.38,0,2,0,0
18.0,57.91,2,2,1,0
8.6,46.46,2,1,0,0
30.2,83.9,2,2,0,0
20.5,81.94,1,0,0,0
27.2,84.01,2,0,1,1
20.6,63.31,3,2,1,0
23.4,74.02,1,1,0,0
26.5,46.7,1,0,1,0
16.5,44.69,4,0,0,1
30.8,54.05,3,1,1,0
19.3,76.62,3,0,1,0
15.3,61.95,1,0,0,0
24.8,42.09,2,1,1,0
28.5,66.8,1,0,0,0
21.7,73.4,3,1,0,1
15.4,68.21,1,0,1,1
30.2,51.62,0,2,0,0
6.4,66.24,1,0,0,1
13.7,56.52,1,0,0,1
24.4,58.44,3,0,0,0
10.4,63.17,2,0,1,1
24.3,80.03,0,1,1,0
23.5,101.47,0,1,0,0
33.0,96.13,2,2,1,0
14.9,77.53,1,2,0,0
17.7,56.97,1,0,1,0
27.3,58.8,0,0,0,0
0.0,59.66,0,0,1,0
55.0,88.02,0,1,0,0
17.0,10.0,1,1,1,0
16.7,70.16,3,0,0,1
32.6,25.15,3,0,1,0
23.6,64.92,2,0,1,1
6.2,91.49,2,1,1,0
30.3,46.78,3,2,0,0
32.6,19.34,3,1,0,0
19.5,90.94,1,1,0,0
21.2,95.12,0,0,0,1
28.9,74.97,0,1,0,0
14.9,90.11,0,2,0,0
28.4,48.95,2,0,1,0
26.0,88.45,2,0,0,1
17.3,99.01,3,1,0,1
10.1,77.8,0,1,0,0
21.7,70.62,0,0,1,0
15.2,90.67,2,0,0,1
34.0,87.64,3,0,0,1
25.4,50.02,1,2,0,0
31.8,92.2,0,1,0,1
25.3,79.89,1,1,1,1
26.6,68.17,3,0,0,1
16.2,91.07,4,1,0,1
30.7,83.51,0,0,1,0
41.8,79.92,1,0,1,0
20.9,54.84,1,1,1,0
18.1,81.67,0,1,1,0
22.4,42.83,1,0,1,0
19.2,62.47,4,2,0,1
17.0,31.13,0,0,1,0
25.4,30.91,0,0,0,0
21.1,73.86,2,0,0,1
38.4,63.36,0,2,0,0
24.0,66.7,5,0,1,1
27.2,76.84,1,1,1,0
