tenure_months,monthly_charges,support_calls,contract_type,is_paperless,churn
14.8,107.05,6,1,0,1
9.4,114.86,5,0,1,1
14.5,65.88,1,1,1,1
20.9,74.21,4,0,1,1
0.0,68.94,1,0,1,1
30.8,101.64,0,0,1,0
9.4,106.88,3,1,0,1
8.0,96.65,3,0,0,1
3.5,64.24,4,1,1,1
23.3,83.75,4,0,0,1
20.7,80.62,2,0,1,1
26.4,62.17,2,1,1,0
22.9,108.27,0,0,0,1
16.6,126.9,3,2,1,1
17.3,119.53,1,1,1,1
23.4,73.16,4,1,0,1
5.2,109.62,2,0,0,0
13.5,47.68,3,1,1,1
17.8,60.76,3,0,1,0
9.5,96.12,3,2,0,1
21.2,69.24,0,2,0,0
10.5,78.97,2,2,0,0
20.7,119.66,4,0,1,1
15.4,81.26,3,0,1,1
18.6,97.63,2,2,0,0
0.0,81.75,2,2,0,1
5.4,97.99,2,0,1,1
27.4,103.42,5,0,1,1
15.8,80.69,0,0,0,0
13.2,68.46,2,0,0,0
23.6,97.65,6,2,0,1
21.5,61.5,2,0,0,1
13.5,105.45,3,2,1,1
7.6,91.18,3,0,1,1
33.6,99.12,1,2,1,0
20.9,53.83,4,0,0,1
0.0,114.83,2,2,0,1
22.4,76.23,3,2,0,1
21.7,76.8,3,1,1,1
22.1,49.38,2,0,1,1
10.0,76.34,6,1,0,1
28.7,64.68,3,0,0,0
6.5,105.07,2,1,0,0
26.1,78.42,4,0,1,1
16.9,71.21,2,0,1,1
31.0,108.56,5,0,1,1
10.1,56.22,1,2,0,0
21.0,61.07,2,2,1,1
22.4,70.9,3,2,0,0
10.8,107.02,4,0,1,1
14.1,70.23,4,0,0,1
9.9,83.48,0,2,1,0
18.8,71.96,2,2,1,0
20.9,61.59,3,1,1,1
11.1,78.71,3,0,0,1
17.5,88.41,2,0,0,1
8.2,57.03,5,2,0,1
8.8,84.21,3,0,0,1
0.0,37.34,3,2,1,1
2.3,64.22,1,2,1,0
7.3,101.27,3,0,0,1
15.1,79.47,5,1,1,1
29.2,96.75,5,1,0,1
16.7,106.28,5,2,1,1
14.9,97.33,3,0,0,1
17.5,91.09,0,1,1,0
0.0,98.22,5,0,1,1
14.5,86.89,4,2,0,1
5.3,77.46,5,2,0,1
8.3,98.97,1,2,1,1
34.4,93.11,4,2,0,1
32.5,88.17,0,2,0,1
23.8,115.28,6,2,0,1
19.4,91.68,2,2,0,1
19.0,131.96,2,0,0,1
4.3,59.21,2,1,0,0
1.4,105.31,3,2,1,1
17.3,86.28,1,2,0,1
9.5,104.82,1,2,1,1
6.2,77.57,6,2,1,1
13.2,113.49,3,0,1,1
13.3,110.36,5,0,0,1
15.9,95.99,1,2,0,1
6.6,73.06,3,1,1,1
14.2,86.13,4,0,1,1
1.6,71.37,5,2,0,1
26.3,86.41,1,1,0,0
29.2,54.39,2,2,1,0
3.0,62.4,1,0,0,1
18.3,57.56,2,2,1,0
11.8,104.17,3,0,1,1
15.1,90.16,3,0,1,1
14.6,55.7,4,1,1,0
25.9,80.32,3,2,0,1
19.5,111.07,6,0,0,1
5.3,82.02,3,0,1,1
14.8,60.51,6,2,0,0
13.8,72.06,3,0,0,1
6.0,88.83,2,2,1,1
16.0,108.13,4,1,1,1
13.8,70.44,3,1,0,1
27.6,44.93,7,2,1,0
12.1,91.77,3,2,0,1
18.4,79.75,1,0,0,0
0.0,53.05,3,0,0,1
0.0,55.27,4,2,1,1
17.3,75.2,5,0,1,1
